Name,ORE_sdE3_r1_GTGGCC_L004,ORE_sdE3_r2_TGACCA_L005,ORE_w_r1_ATCACG_L001,ORE_w_r2_GTTTCG_L002,OREf_SAMm_sdE3_ATTCCT_L002,OREf_SAMm_w_GTCCGC_L006,SAM_sdE3_r1_ATGTCA_L006,SAM_sdE3_r2_GCCAAT_L007,SAM_w_r1_ACTTGA_L003,SAM_w_r2_GAGTGG_L004,SAMf_OREm_sdE3_TAGCTT_L001,SAMf_OREm_w_CAGATC_L005
FBtr0081022,17.9434,13.163,22.4693,17.8085,17.1944,12.8899,21.2248,11.895,21.6556,13.3268,7.6245,11.9825
FBtr0340182,4.75934,2.73367,5.99963,4.89523,4.29904,3.02779,7.02157,3.49206,5.57889,3.58488,2.89376,3.87814
FBtr0290267,0.319055,0.369954,0.454082,0.485957,0.809626,0.572008,0.634454,1.18836,0.441719,0.889411,0.281911,0.869233
FBtr0081024,0.0,0.0,0.0179042,0.0,0.0150312,0.0,0.014104,0.0298522,0.0601954,0.0181626,0.014536,0.0471281
FBtr0081025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0340183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081028,0.0,0.0,0.293156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058981,0.0,0.0
FBtr0307350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0340229,0.0,0.0,0.0622913,0.0,0.0,0.0,0.0,0.0,0.0349948,0.0,0.0,0.0272903
FBtr0081031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0302454,0.0,0.0,0.0,0.0,0.0264475,0.0,0.0,0.0,0.0354496,0.0,0.0,0.0
FBtr0081032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081033,0.0223826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081034,0.266087,0.456946,0.312905,0.250074,0.263317,0.324619,0.0,0.260642,0.352961,0.0,0.504638,0.0
FBtr0340574,1.12366,1.6413,1.01998,0.568256,0.567735,1.0701,0.595741,0.215729,0.654589,1.12929,0.716122,1.16102
FBtr0081040,10.5779,10.104,12.7524,9.9316,12.6834,9.92355,12.2301,10.7226,11.9583,9.37202,7.46274,11.1344
FBtr0329927,0.0,7.02207e-07,4.03816e-06,0.331874,0.000139094,0.833822,0.447227,1.28264e-05,0.0,0.0,1.17379e-07,0.63882
FBtr0329928,10.5779,10.104,12.7524,9.9316,12.6834,9.92355,12.2301,10.7226,11.9583,9.37202,7.46274,11.1344
FBtr0300025,0.730945,1.02515,0.806944,0.937523,0.886772,0.778811,0.721212,0.418932,1.15604,0.931952,0.503419,0.463402
FBtr0081045,0.027343,0.0476484,0.0322927,0.0252155,0.0270697,0.0,0.0,0.0,0.0,0.0655638,0.0,0.0
FBtr0302030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0302031,0.0,0.0,0.0,0.0239163,0.0,0.095164,0.0,0.0256085,0.0,0.0310492,0.0,0.0
FBtr0273418,0.264096,0.189212,0.342968,0.261032,0.212862,0.233367,0.402791,0.194171,0.346732,0.242809,0.11922,0.157874
FBtr0081048,0.0029981,0.233798,0.000261618,0.242247,0.0,0.0,0.327574,0.0442873,0.118475,0.106716,8.46243e-08,0.045917
FBtr0329926,0.175027,0.0,0.0524949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448385,0.0
FBtr0081049,0.124596,0.21881,0.0491962,0.0,0.20583,0.0511518,0.153583,0.0,0.0,0.0999582,0.0,0.0
FBtr0081050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0345614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081051,13.7088,8.33271,10.8891,8.46174,7.63909,6.8318,12.9829,6.42241,12.3717,10.3368,6.32639,6.12066
FBtr0081052,128.494,29.3248,9.18459,45.0014,19.026,0.783813,25.7012,2.36244,73.3715,37.4698,80.9357,55.4981
FBtr0112804,118.549,112.322,127.061,127.253,128.279,106.859,149.804,120.69,127.973,94.8157,93.9085,126.415
FBtr0112805,10.783,7.5897,8.68941,8.30961,8.55674,5.5631,11.6325,6.44641,12.2424,7.94288,7.11165,7.41998
FBtr0301391,0.0,4.47243,8.20229,6.80131,5.46044,7.00254,8.98098,7.5354,2.56429,3.85667,0.0,5.37059
FBtr0344782,143.643,121.39,151.077,139.034,139.407,124.46,160.574,108.861,169.084,139.81,86.9393,113.074
FBtr0340580,0.0,59.7647,97.1552,83.4673,89.8222,115.142,112.684,102.573,56.9179,62.6811,0.0,42.7822
FBtr0081054,0.134861,0.0873726,0.0926025,0.136299,0.0666694,0.0,0.271325,0.0,0.0740604,0.0805005,0.128114,0.0580639
FBtr0340581,0.0,0.0,0.0,0.0,0.0,0.0797012,0.0,0.149624,0.0,0.0,0.0,0.0
FBtr0081055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081056,0.0,0.0,0.270799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0343819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081058,0.0,0.0,0.0604846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081062,18.3366,20.3279,22.3432,22.9147,22.6242,20.4695,26.5245,21.1947,24.8013,22.4287,17.3071,20.7915
FBtr0343823,1.00001,0.763446,0.717854,1.25436,0.658639,0.336917,0.361784,0.270387,0.510173,0.396858,0.413749,1.08995
FBtr0081063,0.280218,0.5458,0.466114,0.303956,0.667403,0.346935,0.620437,0.789893,0.903633,1.28622,0.634359,0.872312
FBtr0300674,2.42834,28.0891,26.259,17.2433,15.9922,19.5298,25.1549,27.0358,16.9468,38.2119,0.00427408,15.1645
FBtr0332321,63.3513,49.4926,32.531,56.0877,44.1745,32.4353,51.3903,43.7919,64.5541,60.2854,57.1065,50.8519
FBtr0081068,0.0,0.0,0.0,0.0,0.0,0.0,0.237816,0.134418,0.0,0.0,0.0,0.0
FBtr0305619,0.0700404,0.166941,0.165104,0.0975714,0.121249,0.106861,0.0,0.0,0.0925648,0.125632,0.21859,0.253441
FBtr0081069,0.0,0.0,9.71293e-09,6.26675e-07,0.0,2.68402e-08,0.0,1.70999e-08,2.59588e-10,0.0,0.0,0.0
FBtr0343824,7.39312,5.85496,10.1777,8.06778,6.6651,6.80494,9.08554,4.55258,6.81979,3.51706,4.08248,6.88641
FBtr0081070,15.3015,12.104,13.8871,11.7392,13.7338,11.8057,11.8638,7.51717,13.4062,9.76662,11.0711,13.1768
FBtr0343825,0.523848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250309,0.0
